,HTML_ID,TAG_NAME,ATTRIBUTE_ID,ATTRIBUTE_NAME,ATTRIBUTE_CLASS,ATTRIBUTE_PLACEHOLDER,IN_FORM,TAG_DEPTH,TAG_STRING,LABEL,ATTRIBUTE_ARIALABELEDBY,ATTRIBUTE_ROLE,ATTRIBUTE_TYPE,ATTRIBUTE_VALUE,LOGIN_URL
2682,31,a,None,None,None,None,FALSE,12,CDs,0,None,None,None,None,http://www.regions.com/
2683,31,li,None,None,None,None,FALSE,11,,0,None,None,None,None,http://www.regions.com/
2684,31,a,None,None,None,None,FALSE,12,IRA Options,0,None,None,None,None,http://www.regions.com/
2685,31,li,None,None,None,None,FALSE,11,,0,None,None,None,None,http://www.regions.com/
2686,31,a,None,None,None,None,FALSE,12,Investment Services,0,None,None,None,None,http://www.regions.com/
2687,31,li,None,None,None,None,FALSE,11,,0,None,None,None,None,http://www.regions.com/
2688,31,a,None,None,None,None,FALSE,12,Private Wealth Management,0,None,None,None,None,http://www.regions.com/
2689,31,li,None,None,None,None,FALSE,11,,0,None,None,None,None,http://www.regions.com/
2690,31,a,None,None,None,None,FALSE,12,Set Up a Savings Goal,0,None,None,None,None,http://www.regions.com/
2691,31,span,None,None,['regions-hero-callout-title'],None,FALSE,12,My Green Insights: Budget. Set Goals. Track Process. Manage.,0,None,None,None,None,http://www.regions.com/
2692,31,a,None,None,['regions-hero-callout-action-button'],None,FALSE,12,Get Started,0,None,None,None,None,http://www.regions.com/
2693,31,a,None,None,['regions-hero-callout-alt'],None,FALSE,10,,0,None,None,None,None,http://www.regions.com/
2694,31,span,None,None,['regions-hero-callout-title'],None,FALSE,12,Learn More About Savings Calculators,0,None,None,None,None,http://www.regions.com/
2695,31,span,None,None,['regions-hero-callout-subtitle'],None,FALSE,12,,0,None,None,None,None,http://www.regions.com/
2696,31,li,None,None,['regions-accordion-item'],None,FALSE,8,,0,None,None,None,None,http://www.regions.com/
2697,31,a,None,None,['regions-accordion-title'],None,FALSE,9,,0,None,None,None,None,http://www.regions.com/
2698,31,span,None,None,['regions-accessible-text'],None,FALSE,10,. Click to open menu,0,None,None,None,None,http://www.regions.com/
2699,31,ul,None,None,['regions-hero-links-list'],None,FALSE,10,,0,None,None,None,None,http://www.regions.com/
2700,31,li,None,None,None,None,FALSE,11,,0,None,None,None,None,http://www.regions.com/
2701,31,a,None,None,None,None,FALSE,12,Credit Cards,0,None,None,None,None,http://www.regions.com/
2702,31,li,None,None,None,None,FALSE,11,,0,None,None,None,None,http://www.regions.com/
2703,31,a,None,None,None,None,FALSE,12,Mortgages,0,None,None,None,None,http://www.regions.com/
2704,31,li,None,None,None,None,FALSE,11,,0,None,None,None,None,http://www.regions.com/
2705,31,a,None,None,None,None,FALSE,12,Home Equity,0,None,None,None,None,http://www.regions.com/
2706,31,li,None,None,None,None,FALSE,11,,0,None,None,None,None,http://www.regions.com/
2707,31,a,None,None,None,None,FALSE,12,Lines of Credit,0,None,None,None,None,http://www.regions.com/
2708,31,li,None,None,None,None,FALSE,11,,0,None,None,None,None,http://www.regions.com/
2709,31,a,None,None,None,None,FALSE,12,Auto Loans,0,None,None,None,None,http://www.regions.com/
2710,31,li,None,None,None,None,FALSE,11,,0,None,None,None,None,http://www.regions.com/
2711,31,a,None,None,None,None,FALSE,12,Student Loans,0,None,None,None,None,http://www.regions.com/
2712,31,li,None,None,None,None,FALSE,11,,0,None,None,None,None,http://www.regions.com/
2713,31,a,None,None,None,None,FALSE,12,Personal Loans,0,None,None,None,None,http://www.regions.com/
2714,31,li,None,None,None,None,FALSE,11,,0,None,None,None,None,http://www.regions.com/
2715,31,a,None,None,['regions-hero-more-link'],None,FALSE,12,,0,None,None,None,None,http://www.regions.com/
2716,31,span,None,None,['regions-accessible-text'],None,FALSE,13,Borrow Products,0,None,None,None,None,http://www.regions.com/
2717,31,span,None,None,['regions-hero-callout-title'],None,FALSE,12,Regions Visa® Credit Cards: You'll think we made one just for you. Because we did.,0,None,None,None,None,http://www.regions.com/
